手机网络功能_-1,手机网络功能_0,手机网络功能_1,手机网络功能_2,账户消费限额_0,账户消费限额_1,在职总月数,家庭中唯一订阅者的数量,每月平均使用分钟数,平均占线语音呼叫数,平均未接语音呼叫数,是否流失
0,1,0,0,1,0,11,1,293,3,1,1
0,1,0,0,1,0,12,1,362,0,13,0
0,1,0,0,1,0,22,2,385,12,15,0
0,1,0,0,1,0,17,1,839,6,90,0
0,1,0,0,1,0,14,1,350,1,17,1
0,1,0,0,1,0,7,2,5,0,0,0
0,1,0,0,1,0,38,2,154,0,6,1
0,1,0,0,1,0,13,1,1098,11,58,0
0,0,1,0,1,0,25,1,227,0,0,0
0,1,0,0,1,0,7,1,102,5,13,0
0,1,0,0,1,0,8,1,1364,7,52,0
0,1,0,0,1,0,22,1,610,0,15,1
0,1,0,0,1,0,11,1,550,0,43,1
0,1,0,0,1,0,18,1,230,0,28,1
0,1,0,0,1,0,17,3,675,0,86,1
0,0,0,1,1,0,28,1,0,0,0,1
0,1,0,0,1,0,24,1,180,4,7,0
0,1,0,0,1,0,7,1,280,2,6,0
0,1,0,0,1,0,23,1,882,4,42,0
0,1,0,0,1,0,8,2,311,1,5,0
0,1,0,0,1,0,13,2,33,0,3,1
0,1,0,0,1,0,27,2,765,1,44,0
0,0,0,1,1,0,22,2,57,0,4,1
0,1,0,0,1,0,13,1,921,0,7,1
0,1,0,0,1,0,25,2,93,0,5,0
0,1,0,0,1,0,13,1,631,59,16,0
0,1,0,0,1,0,34,1,344,0,24,1
0,1,0,0,0,1,12,1,2180,1,90,0
0,0,1,0,1,0,8,1,2177,10,159,0
0,1,0,0,1,0,17,1,1101,39,36,0
0,1,0,0,1,0,10,2,0,0,0,0
0,1,0,0,1,0,35,1,747,2,39,0
0,1,0,0,1,0,20,1,614,0,13,1
0,0,1,0,1,0,12,4,3,0,0,1
0,1,0,0,1,0,13,1,748,9,23,1
0,0,0,1,0,1,17,2,207,7,29,1
0,1,0,0,1,0,11,1,106,2,2,1
0,1,0,0,1,0,21,1,1587,1,87,1
0,1,0,0,1,0,11,1,291,1,10,1
0,1,0,0,1,0,15,3,337,3,15,0
0,1,0,0,0,1,7,1,2061,0,70,0
0,1,0,0,1,0,12,1,277,0,26,1
0,1,0,0,0,1,13,1,81,0,0,1
0,1,0,0,1,0,21,2,296,0,0,0
0,0,1,0,1,0,27,2,116,3,7,0
0,1,0,0,1,0,12,1,27,0,2,1
0,0,1,0,1,0,26,1,763,3,56,0
0,1,0,0,0,1,6,1,1291,12,145,0
0,1,0,0,1,0,11,2,80,0,3,1
0,1,0,0,1,0,11,1,1343,4,109,1
0,1,0,0,1,0,11,1,198,0,0,0
0,0,0,1,1,0,46,1,805,2,63,1
0,1,0,0,1,0,9,1,473,6,40,1
0,1,0,0,1,0,19,1,368,2,0,1
0,1,0,0,1,0,23,3,646,0,71,1
0,1,0,0,1,0,23,1,1081,2,28,1
0,1,0,0,1,0,22,2,166,0,8,1
0,1,0,0,1,0,18,1,1122,6,84,1
0,0,1,0,1,0,25,1,136,0,4,1
0,0,1,0,1,0,15,1,1432,6,16,0
0,1,0,0,1,0,17,1,1000,1,88,0
0,0,0,1,1,0,13,1,641,0,32,1
0,1,0,0,1,0,17,2,527,2,38,1
0,1,0,0,1,0,44,1,530,0,35,0
