在职总月数,每月平均使用分钟数,平均未接语音呼叫数,是否流失
11,293,1,1
12,362,13,0
22,385,15,0
17,839,90,0
14,350,17,1
7,5,0,0
38,154,6,1
13,1098,58,0
25,227,0,0
7,102,13,0
8,1364,52,0
22,610,15,1
11,550,43,1
18,230,28,1
17,675,86,1
28,0,0,1
24,180,7,0
7,280,6,0
23,882,42,0
8,311,5,0
13,33,3,1
27,765,44,0
22,57,4,1
13,921,7,1
25,93,5,0
13,631,16,0
34,344,24,1
12,2180,90,0
8,2177,159,0
17,1101,36,0
10,0,0,0
35,747,39,0
20,614,13,1
12,3,0,1
13,748,23,1
17,207,29,1
11,106,2,1
21,1587,87,1
11,291,10,1
15,337,15,0
7,2061,70,0
12,277,26,1
13,81,0,1
21,296,0,0
27,116,7,0
12,27,2,1
26,763,56,0
6,1291,145,0
11,80,3,1
11,1343,109,1
11,198,0,0
46,805,63,1
9,473,40,1
19,368,0,1
23,646,71,1
23,1081,28,1
22,166,8,1
18,1122,84,1
25,136,4,1
15,1432,16,0
17,1000,88,0
13,641,32,1
17,527,38,1
44,530,35,0
11,870,68,1
26,456,7,1
16,1091,19,0
14,313,11,1
13,1077,23,1
22,949,57,1
7,279,17,0
14,181,0,0
18,225,12,0
9,12,0,0
12,0,0,1
11,125,7,1
11,462,57,1
36,5,0,0
28,297,21,0
21,208,11,1
19,557,40,1
15,1515,79,1
29,688,26,1
29,180,7,1
33,491,7,0
18,306,8,0
24,187,11,0
11,35,2,1
14,238,9,1
33,112,3,1
8,1242,113,1
13,259,48,0
27,806,35,1
20,267,20,1
11,91,0,1
25,172,0,1
11,536,21,0
20,1302,16,0
17,617,46,0
24,1083,20,0
32,139,5,0
17,617,11,1
26,88,8,0
16,69,14,0
17,137,3,1
8,294,13,0
10,0,0,1
16,63,0,0
19,886,22,0
31,1136,80,1
15,173,27,0
10,89,2,0
21,1009,92,0
11,376,22,1
13,678,32,0
8,234,49,1
11,1017,35,1
25,42,1,0
16,164,0,0
23,2,0,1
26,53,6,0
17,21,1,1
9,737,27,0
47,70,2,1
18,377,30,1
11,298,21,1
12,269,14,1
51,1272,42,0
7,921,20,1
26,1173,39,1
19,125,20,1
23,1579,42,0
34,220,13,0
23,306,25,1
10,68,7,1
8,1929,84,0
11,568,32,0
18,1067,29,1
15,1100,0,0
14,92,8,1
26,634,28,1
12,438,39,1
18,1347,35,1
15,93,4,1
20,674,21,1
20,204,7,0
37,143,7,0
11,1152,42,1
25,516,44,1
11,1376,123,0
29,852,25,0
12,243,20,1
27,291,25,0
6,704,38,1
39,0,0,1
28,3,0,1
25,65,5,1
25,261,64,0
25,662,6,1
11,583,31,1
17,303,25,0
11,779,14,1
14,239,13,1
19,196,20,1
22,1126,26,0
8,335,16,1
34,1114,93,0
38,631,35,0
9,581,4,0
17,667,13,0
12,495,0,1
8,306,14,0
17,462,22,1
15,129,6,0
16,124,0,1
12,13,2,1
16,408,35,1
8,1429,16,1
23,705,52,0
8,1595,294,0
30,1239,61,1
48,145,7,1
24,637,45,0
28,496,19,0
11,100,0,1
48,1208,45,1
19,138,4,1
15,55,1,0
17,707,52,1
12,2068,120,1
11,18,2,1
18,75,3,0
25,199,16,1
9,1225,156,0
12,107,2,0
23,151,9,1
9,735,41,0
33,29,1,1
8,0,0,1
10,0,0,1
25,216,10,1
20,116,1,0
25,188,9,0
31,728,73,0
35,54,0,1
39,234,5,1
26,98,4,0
8,995,65,1
20,491,9,1
10,1254,118,0
16,16,1,0
14,282,28,0
26,413,19,1
9,687,44,1
11,649,81,0
8,272,13,0
14,371,20,0
10,445,33,0
9,727,70,0
23,8,0,1
12,169,9,0
38,132,9,1
21,133,4,0
8,984,12,0
7,256,10,1
13,22,1,0
47,553,26,1
27,49,1,0
26,551,29,1
22,0,0,1
7,117,5,0
28,82,2,1
31,667,32,0
18,1482,46,0
21,1098,24,1
17,736,20,0
22,339,12,1
25,571,16,0
17,926,53,1
8,400,42,1
12,14,2,1
18,2101,134,1
22,391,9,0
8,2152,117,0
24,582,29,0
9,2067,151,0
9,288,21,1
17,550,0,1
30,85,2,1
30,72,1,0
19,639,19,1
32,446,18,1
8,656,33,0
8,1781,106,1
9,832,58,0
8,1037,27,1
19,234,11,0
8,252,0,0
